CylinderConfiguration,Price,PriceType,SimpleAge,SellerType,Make,Model,BodyType,Year,Kilometers,Trasmission,DriveTrain,FuelType,Colour,AirConditioning,ANCAPRating,GreenStarRating
4,3500,FIXED,16h,Dealer used,Toyota,CSi,Sedan,2001,199000,Automatic,Front Wheel Drive,Petrol - Unleaded,Silver,TRUE,5,2.5
8,12990,FIXED,5h,Dealer used,Holden,All Others,Sedan,2002,24034,Automatic,Rear Wheel Drive,Petrol - Unleaded,Gold,TRUE,5,2.5
4,33990,DRIVE_AWAY,59m,Dealer used,Nissan,ST-L (2WD),SUV,2019,172,Automatic,Front Wheel Drive,Petrol - Unleaded,White,TRUE,5,4.5
4,29500,FIXED,7h,Private seller,Toyota,SR (4x4),Ute,2015,99999,Automatic,4x4,Diesel,Blue,FALSE,5,3.5
4,6999,FIXED,16h,Dealer used,Subaru,2.5i HERITAGE,Wagon,2009,229000,Automatic,All Wheel Drive,Petrol - Unleaded,Silver,TRUE,5,2.5
6,15990,DRIVE_AWAY,2h,Dealer used,Holden,SV6 Z-SERIES,Ute,2013,154007,Manual,Rear Wheel Drive,Petrol - Unleaded,Blue,TRUE,5,4
6,7590,DRIVE_AWAY,3h,Dealer used,Holden,V6,Sedan,2004,284110,Automatic,Rear Wheel Drive,Petrol - Unleaded,Silver,TRUE,5,3.5
4,8500,DRIVE_AWAY,6h,Dealer used,Nissan,DX (4x2),Ute,2011,347000,Manual,Rear Wheel Drive,Diesel,White,TRUE,3,3
4,4500,FIXED,18h,Dealer used,Mazda,Premacy,Hatchback,2002,226000,Automatic,Front Wheel Drive,Petrol - Unleaded,Silver,TRUE,5,4
4,6999,DRIVE_AWAY,5h,Dealer used,Honda,LIMITED EDITION,Sedan,2010,224000,Automatic,Front Wheel Drive,Petrol - Unleaded,Burgundy,TRUE,4,4.5
4,15800,FIXED,1h,Dealer used,Mazda,LUXURY SPORTS (4x4),SUV,2010,82308,Automatic,All Wheel Drive,Petrol - Unleaded,Silver,TRUE,5,3
8,29490,DRIVE_AWAY,2h,Dealer used,Holden,SS,Sedan,2016,90888,Automatic,Rear Wheel Drive,Petrol - Premium Unleaded,Blue,TRUE,5,3
4,9999,DRIVE_AWAY,6h,Dealer used,Volkswagen,92 TSI COMFORTLINE,Wagon,2015,170078,Automatic,Front Wheel Drive,Petrol - Premium Unleaded,White,TRUE,5,4.5
4,4499,DRIVE_AWAY,6h,Dealer used,Mercedes-Benz,KOMPRESSOR CLASSIC,Sedan,2000,647001,Automatic,Rear Wheel Drive,Petrol - Unleaded,Blue,TRUE,4,3
