Price,PriceType,SellerType,Make,Model,Variant,BodyType,Year,Kilometers,Trasmission,DriveTrain,FuelType,Colour,AirConditioning,ANCAPRating,GreenStarRating,CylinderConfigurationParsed
29990,DRIVE_AWAY,Dealer used,Nissan,NISMO RS (AWD),,SUV,2018,57,Automatic,All Wheel Drive,Petrol - Premium Unleaded,Black,TRUE,5,4,0
24400,NEGOTIABLE,Private seller,Jeep,Other,LAREDO (4x2),SUV,2014,77000,Automatic,Rear Wheel Drive,Petrol - Premium Unleaded,Silver,TRUE,5,3,6
11199,DRIVE_AWAY,Dealer used,Suzuki,Swift,GA,Hatchback,2013,122997,Automatic,Front Wheel Drive,Petrol - Unleaded,Other,TRUE,5,4,4
12999,FIXED,Dealer used,Holden,Commodore,SS,Sedan,2006,170000,Automatic,Rear Wheel Drive,Petrol - Premium Unleaded,Other,TRUE,5,3.5,8
14999,DRIVE_AWAY,Dealer used,Nissan,Navara,ST (4x4),Ute,2011,211191,Manual,4x4,Diesel,Grey,TRUE,3,2.5,4
21888,DRIVE_AWAY,Dealer used,Toyota,Camry,HYBRID H,Sedan,2014,65176,Automatic,Front Wheel Drive,Petrol - Unleaded,White,TRUE,5,5,4
24990,FIXED,Dealer used,BMW,20d,,Convertible,2012,80725,Automatic,Rear Wheel Drive,Diesel,White,TRUE,5,3.5,0
6499,DRIVE_AWAY,Dealer used,Subaru,2.0R,,Sedan,2006,208707,Automatic,All Wheel Drive,Petrol - Unleaded,Other,TRUE,5,3.5,0
22999,FIXED,Dealer used,Nissan,370Z,DX (4x4),Coupe (2 door),2010,98658,Manual,Rear Wheel Drive,Petrol - Premium Unleaded,Grey,TRUE,5,3,6
13585,DRIVE_AWAY,Dealer used,Nissan,Patrol,ST (4x4),SUV,2003,260302,Manual,4x4,Diesel,Green,TRUE,4,2.5,4
29990,FIXED,Dealer used,Ford,Other,GXL,Other,1965,65855,Automatic,All Wheel Drive,Petrol - Unleaded,Brown,TRUE,5,4,0
11990,DRIVE_AWAY,Dealer used,Mitsubishi,Lancer,GSR SPORTBACK,Hatchback,2014,140000,Automatic,Front Wheel Drive,Petrol - Unleaded,White,TRUE,5,3.5,4
13490,DRIVE_AWAY,Dealer used,Toyota,Camry,ALTISE,Sedan,2014,91173,Automatic,Front Wheel Drive,Petrol - Unleaded,Silver,TRUE,5,3.5,4
41990,DRIVE_AWAY,Dealer used,Toyota,LandCruiser,WORKMATE (4x4),Ute,2011,176974,Manual,4x4,Diesel,White,TRUE,3,2,8
15990,DRIVE_AWAY,Dealer used,Holden,Calais,V,Sedan,2010,121687,Automatic,Rear Wheel Drive,Petrol - Premium Unleaded,Black,TRUE,5,2.5,8
14990,DRIVE_AWAY,Dealer used,Mitsubishi,Triton,GLX,Ute,2012,182235,Manual,Rear Wheel Drive,Diesel,White,TRUE,4,2.5,4
6499,FIXED,Dealer used,Subaru,Forester,X,SUV,2010,260000,Manual,All Wheel Drive,Petrol - Unleaded,Other,TRUE,5,3.5,4
6990,DRIVE_AWAY,Dealer used,Holden,Barina,350 Ti,Hatchback,2010,142816,Automatic,Front Wheel Drive,Petrol - Unleaded,Red,TRUE,4,3.5,4
14990,DRIVE_AWAY,Dealer used,Hyundai,iLoad,WRX (AWD),Van/Minivan,2011,205119,Manual,Rear Wheel Drive,Diesel,White,TRUE,4,2.5,4
17900,FIXED,Private seller,Toyota,LWB,,Van/Minivan,2007,650000,Manual,Rear Wheel Drive,Petrol - Unleaded,White,TRUE,4,3,0
34950,FIXED,Dealer used,Porsche,911,2.7,Coupe (2 door),1977,253418,Manual,Rear Wheel Drive,Petrol - Leaded,Red,TRUE,5,4.5,6
11999,FIXED,Dealer used,Ford,Territory,TS (RWD),SUV,2014,226500,Automatic,Rear Wheel Drive,Petrol - Unleaded,White,TRUE,5,3,6
1100,FIXED,Dealer used,Other,cars.carmodel.null,,Other,2006,0,Automatic,Front Wheel Drive,Hybrid / Electric,Other,TRUE,5,2.5,0
6999,DRIVE_AWAY,Dealer used,Nissan,Dualis,Ti (4x2),SUV,2010,188505,Manual,Front Wheel Drive,Petrol - Unleaded,White,TRUE,5,3.5,4
15490,DRIVE_AWAY,Dealer used,Ford,Territory,TX (RWD),SUV,2015,168222,Automatic,Rear Wheel Drive,Diesel,Silver,TRUE,5,2.5,6
7000,FIXED,Dealer used,Other,cars.carmodel.null,,Other,2013,0,Automatic,Rear Wheel Drive,Hybrid / Electric,Other,TRUE,5,4.5,0
9999,FIXED,Dealer used,Nissan,ST-X (4x4),,Ute,2009,274674,Manual,4x4,Diesel,Silver,TRUE,0,0,0
4500,FIXED,Dealer used,Mazda,Mazda3,MAXX SPORT,Sedan,2005,269000,Manual,Front Wheel Drive,Petrol - Unleaded,White,TRUE,5,3,4
10999,FIXED,Dealer used,BMW,xDRIVE 20d,,SUV,2010,160612,Automatic,All Wheel Drive,Diesel,Black,TRUE,5,3.5,0
8988,DRIVE_AWAY,Dealer used,Holden,OMEGA,,Ute,2008,214706,Manual,Rear Wheel Drive,Petrol - Unleaded,Black,TRUE,5,4,0
57288,DRIVE_AWAY,Dealer used,Lexus,F SPORT,,Sedan,2018,5845,Automatic,Rear Wheel Drive,Petrol - Premium Unleaded,Black,TRUE,5,0,0
22999,DRIVE_AWAY,Dealer used,BMW,35i,,Sedan,2010,160264,Automatic,Rear Wheel Drive,Petrol - Premium Unleaded,Grey,TRUE,5,4.5,0
4990,FIXED,Dealer used,Honda,CR-V,(4x4),SUV,1999,246754,Automatic,4x4,Petrol - Unleaded,Other,TRUE,5,3.5,4
3990,FIXED,Dealer used,Holden,Commodore,OLYMPIC EDITION,Sedan,2000,297551,Automatic,Rear Wheel Drive,Petrol - Unleaded,Other,TRUE,5,3.5,6
6999,FIXED,Dealer used,Great Wall,V240,(4x2),Ute,2011,180065,Manual,Rear Wheel Drive,Petrol - Unleaded,White,TRUE,5,3,4
